# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
PEPPERS|Bell vegetables
PERCENT|Out of a hundred
PERFECT|Not a fault in it
PERFORM|Put on the show
PERFUME|Scent
PERHAPS|Maybe
PERIODS|Full stops
PERJURY|Lying under oath
PERMITS|Allows
PERPLEX|Baffle
PERSIST|Keep at it
PERSONS|People
PERUSED|Read it over
PESTERS|Won't leave them alone
PETTING|Stroking the cat
PHANTOM|Ghostly figure
PHARAOH|Pyramid builder
PHOENIX|Rises from the ashes
PHRASES|Turns of speech
PHYSICS|Study of matter and energy
PIANIST|One at the keys
PICKING|Choosing
PICKLES|Deli spears
PICNICS|Blanket meals
PICTURE|Photograph
PIERCED|Made a hole through
PIGEONS|Park birds
PIGMENT|What gives paint its color
PILGRIM|One on a holy journey
PILLARS|Supporting columns
PILLOWS|Head rests
PILOTED|Flew it
PIMENTO|Olive's stuffing
PINCERS|Crab's grippers
PINCHED|Nipped, or stole
PINKEST|Rosiest of all
PIONEER|First one out west
PIRATES|Jolly Roger fliers
PISTOLS|Handguns
PISTONS|Cylinder movers
PITCHED|Threw it
PITCHER|Mound man, or a jug
PITFALL|Hidden trap
PLACARD|Protest sign
PLACING|Putting it down
PLAGUES|Sweeping sicknesses
PLAINLY|Clear as day
PLAITED|Braided
PLANETS|Mars and Venus
PLANNED|Worked out ahead
PLANNER|Diary
PLANTED|Put in the ground
PLANTER|Pot for the patio
PLASTER|Wall coating
PLASTIC|Bottle material
PLATEAU|Level high ground
PLATTER|Big serving dish
PLAYERS|Ones on the team
PLAYFUL|Full of fun
PLAYING|At the game
PLAYPEN|Toddler's enclosure
PLEADED|Begged
PLEASED|Happy with it
PLEASES|Makes them happy
PLEDGED|Gave your word
PLIABLE|Bends easily
PLODDED|Trudged on
PLOTTED|Schemed
PLOWING|Turning the field
PLUCKED|Picked it off
PLUGGED|Stopped it up
PLUMAGE|Bird's feathers
PLUMBER|Pipe fixer
PLUMMET|Drop like a stone
PLUNDER|Loot
PLUNGED|Dived in
PLUNGER|Sink unblocker
PLURALS|More than one
POACHED|Cooked in liquid
POCKETS|Where the keys go
PODIUMS|Where the speakers stand
POINTED|Sharp, or indicated
POINTER|Hint, or a dog
POISONS|Deadly substances
POLICED|Kept order in
POLITIC|Wise in the circumstances
POLLING|Taking the survey
POLLUTE|Foul it up
PONDERS|Turns it over
PONTOON|Floating support
POPCORN|Cinema snack
POPULAR|Everybody likes it
PORCHES|Front step covers
PORTALS|Grand doorways
PORTERS|Station bag carriers
PORTION|Serving
PORTRAY|Play the part of
POSITED|Put it forward
POSSESS|Own
POSTAGE|What the stamp pays
POSTBOX|Where you drop the letter
POSTERS|Wall prints
POSTING|Sending it off
POSTMAN|Mail deliverer
POTTERY|Wheel work
POULTRY|Chicken and turkey
POUNCED|What the cat did
POUNDED|Hammered away
POURING|Tipping it out
POVERTY|Being very poor
POWDERS|Fine dusts
PRAISED|Spoke well of
PRANCED|Stepped high
PRAYERS|Words said with eyes closed
PRAYING|Hands together
PREACHY|Too much of a sermon
PRECEDE|Come before
PRECISE|Exactly so
PREDICT|Say what will happen
PREFACE|Book's opening words
PREFERS|Likes better
PREMIER|The top one
PREMISE|What the argument rests on
PREMIUM|Insurance payment
PREPARE|Get ready
PRESENT|Gift
PRESIDE|Chair the meeting
PRESSED|Ironed
PRESSES|Printing machines
PRESUME|Take it as read
PRETEND|Make believe
PRETEXT|The excuse given
PREVAIL|Come out on top
PREVENT|Stop it happening
PREVIEW|Sneak look
PRICING|Setting the cost
PRICKLE|Little sting
PRIMARY|The main one
PRIMATE|Ape or monkey
PRIMING|First coat
PRINTED|Put on paper
PRINTER|Paper feeder
PRISONS|Where the sentences are served
PRIVACY|Being left alone
PRIVATE|Not for everyone
PRIZING|Valuing highly
PROBING|Digging into it
PROBLEM|Something to solve
PROCEED|Carry on
PROCESS|The steps of it
PROCTOR|Exam invigilator
PRODIGY|Child genius
PRODUCE|Fruit and veg
PRODUCT|What is made
PROFANE|Not sacred
PROFESS|Claim openly
PROFILE|Side view
PROFITS|What is left after costs
PROGRAM|Show listing
PROJECT|Work in hand
PROLONG|Drag it out
PROMISE|Word given
PROMOTE|Move them up
PROMPTS|Nudges
PRONOUN|He, she or it
PROOFED|Checked for errors
PROPHET|Foreteller
PROPOSE|Put it forward
PROSPER|Do very well
PROTECT|Keep safe
PROTEIN|Meat's nutrient
PROTEST|March against it
PROUDLY|With head high
PROVERB|Old wise saying
PROVIDE|Supply
PROVING|Showing it true
PROWLED|Moved about hunting
PROWLER|Night lurker
PRUDENT|Careful and wise
PRUNING|Cutting back
PUBLISH|Put it in print
PUCKERS|Purses the lips
PUDDING|Sweet course
PUDDLES|Rain's leavings
PUFFING|Out of breath
PULLING|Tugging
PULPITS|Where the sermons come from
PULSING|Beating steadily
PUMPING|Working the handle
PUMPKIN|Jack-o'-lantern
PUNCHED|Hit with the fist
PUNDITS|The commentators
PUNGENT|Sharp on the nose
PUPPETS|String-worked figures
PUPPIES|Young dogs
PURPLES|Violet shades
PURPOSE|The point of it
PURRING|Contented cat's sound
PURSUED|Chased after
PURSUIT|The chase
PUSHING|Shoving
PUTTING|Placing, or on the green
PUZZLED|Not following
PUZZLER|Head-scratcher
PYRAMID|Giza sight
QUAILED|Lost the nerve
QUAKING|Trembling
QUALIFY|Get through the heats
QUALITY|How good it is
QUANTUM|Leap, in physics
QUARREL|Squabble
QUARTER|Twenty-five cents
QUARTET|Four players
QUEENLY|Fit for a queen
QUERIED|Questioned it
QUESTED|Went searching
QUICKER|Faster
QUICKLY|At speed
QUIETED|Hushed
QUIETER|Less noisy
QUIETLY|Without a sound
QUILTED|Padded and stitched
QUININE|Tonic's bitter
QUINTET|Five players
QUITTER|One who gives up
QUIVERS|Trembles
QUIZZED|Grilled with questions
QUOTING|Citing the words
RABBITS|Hutch dwellers
RACCOON|Masked night raider
RACKETS|Tennis gear
RADIANT|Absolutely glowing
RADIATE|Give it off
RADICAL|Root and branch
RADIOED|Sent word by set
RAFTERS|Roof beams
RAIDERS|Ones who swoop in
RAILING|Balcony's barrier
RAILWAY|Where the trains run
RAINBOW|After-shower arc
RAINING|Coming down
RAISING|Bringing up
RAMBLED|Wandered on
RAMPAGE|On the
RANCHER|Cattle raiser
RANCHES|Cattle spreads
RANGERS|Park wardens
RANKING|Where you stand
RANSACK|Turn the place over
RANSOMS|Kidnappers' prices
RAPIDLY|Very quickly
RAPTURE|Sheer joy
RASHERS|Bacon slices
RATIONS|Wartime allowance
RATTLED|Shook, or unnerved
RATTLES|Baby's shakers
RAVAGED|Laid waste
RAVIOLI|Stuffed pasta
REACHED|Got there
REACTED|Responded
READERS|Ones with books
READIER|More prepared
READILY|Without hesitation
READING|Taking in the page
REALISM|True to life
REALIST|No dreamer
REALITY|How it actually is
REALIZE|Come to see
REAPING|Harvesting
REARING|Bringing up
REASONS|The whys
REBATED|Given money back
REBUILD|Put it up again
REBUKED|Told off
RECALLS|Brings to mind
RECEDED|Drew back
RECEIPT|Proof of purchase
RECEIVE|Take delivery
RECITAL|Music school evening
RECITED|Said it from memory
RECKONS|Figures it so
RECLAIM|Take it back
RECLINE|Lean right back
RECORDS|Vinyl discs
RECOUNT|Tell it again
RECOVER|Get well
RECRUIT|New joiner
RECTORY|Where the vicar lives
RECYCLE|Blue bin it
REDNESS|The flush of it
REDRAWN|Sketched again
REDUCED|Brought down
REEDIER|Thinner of voice
REELING|Staggering
REFEREE|Whistle blower
REFILLS|Tops up again
REFINED|Well polished
REFLECT|Bounce the light back
REFORMS|Changes for the better
REFRAIN|Song's chorus, or hold back
REFUGEE|One who fled
REFUNDS|Money back
REFUSAL|The no
REFUSED|Said no
REGALIA|Ceremonial finery
REGARDS|Best wishes
REGATTA|Boat race meeting
REGIMEN|Daily routine
REGIONS|Parts of the country
REGRETS|Wishes it hadn't been so
REGULAR|The usual
REIGNED|Ruled
REJECTS|Turns down
REJOICE|Celebrate
RELAPSE|Fall back into it
RELATED|Kin
RELATES|Connects with
RELAXED|At ease
RELAYED|Passed it on
RELEASE|Let go
RELIANT|Depending on it
RELIEVE|Take the pressure off
RELIVED|Went through it again
REMAINS|What is left
REMARKS|Passing comments
REMINDS|Jogs the memory
REMNANT|Bit left over
REMODEL|Do the room over
REMORSE|Deep regret
REMOTES|Clickers
REMOVAL|Taking it away
REMOVED|Took away
RENAMED|Called it something else
RENDERS|Gives, or draws
RENEWAL|Signing up again
RENEWED|Signed on again
RENTALS|What you hire
RENTING|Paying to use
REOPENS|Opens up again
REPAIRS|Fixes
REPEALS|Strikes the law off
REPEATS|Says it again
REPENTS|Is sorry for it
REPLACE|Swap in a new one
REPLAYS|Rolls the tape back
REPLIED|Answered
REPLIES|Answers
REPORTS|Cards sent home
REPRINT|Run it again
REPTILE|Lizard or snake
REPUTED|So they say
REQUEST|Ask for it
REQUIRE|Need
RESCUED|Saved
RESCUER|The one who came
RESERVE|Book it
RESIDED|Lived at
RESIDUE|What is left behind
RESIGNS|Hands in the notice
RESISTS|Holds out against
RESOLVE|Sort it out
RESORTS|Holiday spots
RESPECT|Look up to
RESPOND|Answer
RESTATE|Say it again another way
RESTFUL|Nice and peaceful
RESTING|Taking it easy
RESTORE|Bring it back
RESULTS|What comes of it
RESUMED|Picked it back up
RETAILS|Sells in the shop
RETAINS|Keeps hold of
RETIRED|Hung up the boots
RETIREE|Pensioner
RETORTS|Snaps back
RETRACE|Go back over
RETRACT|Take it back
RETREAT|Fall back
RETRIAL|Second time in court
RETURNS|Comes back
REUNION|Class get-together
REUNITE|Bring back together
REVEALS|Shows at last
REVENGE|Getting your own back
REVENUE|What comes in
REVERED|Held in awe
REVERSE|Back up
REVIEWS|The write-ups
REVISED|Went over the draft
REVISIT|Go back to it
REVIVAL|Bringing it back
REVIVED|Brought round
REVOLTS|Rises up
REVOLVE|Turn on the spot
REWARDS|What the poster offers
REWRITE|Do it again
RHUBARB|Crumble stalk
RHYMING|Moon and June
RIBBONS|Prize strips
RICHEST|Best off of all
RIDDLES|Puzzling questions
RIFLING|Going through the drawer
RIGGING|Ship's ropes
RIGHTLY|Justly so
RIGIDLY|With no give
RINGING|Bell's sound
RINSING|Under the tap
RIOTERS|Street troublemakers
RIPENED|Came good
RIPPLES|Little water rings
RISKIER|More of a gamble
RITUALS|The same things every time
RIVALED|Matched them
RIVALRY|The needle between them
RIVETED|Absolutely gripped
ROADWAY|The tarmac
ROAMING|Wandering about
ROARING|Lion's sound
ROASTED|Done in the oven
ROBBERS|Bank thieves
ROBBERY|Hold-up
ROBOTIC|Stiff and mechanical
ROCKETS|They go to the moon
ROCKIER|Stonier
ROCKING|Back and forth
ROLLERS|Paint applicators
ROLLING|Going along
ROMANCE|Love story
ROOFING|Tiles and felt
ROOSTED|Settled for the night
ROOSTER|Farmyard crower
ROOTING|Cheering them on
ROSEBUD|Kane's last word
ROSTERS|Team lists
ROTATED|Turned round
ROTTING|Going off
ROUGHER|Less smooth
ROUGHLY|About
ROUNDED|Made curved
ROUSING|Really stirring
ROUTINE|The daily grind
ROWBOAT|Oar-driven craft
ROYALLY|In grand style
ROYALTY|Kings and queens
RUBBERS|Erasers
RUBBING|Working it with a cloth
RUBBISH|Nonsense
RUFFLED|Put out
RUINING|Wrecking
RULINGS|Judge's decisions
RUMBLED|Thundered distantly
RUMORED|So they say
RUNAWAY|One who fled home
RUNNERS|Marathon entrants
RUNNING|At a jog
RUNWAYS|Where the planes land
RUPTURE|Burst
RUSHING|In a hurry
RUSSIAN|Of Moscow
RUSTIER|More corroded
RUSTLED|Made a papery sound
RUSTLER|Cattle thief
SADDENS|Brings low
SADDEST|Most sorrowful of all
SADDLES|Horse seats
SAFFRON|Costly yellow spice
SAILING|Under canvas
SAILORS|Deck hands
SAINTLY|Absolutely blameless
SALOONS|Western bars
SALUTED|Hand to the brow
SALVAGE|Save from the wreck
SAMPLED|Had a taste
SAMPLES|Free tastes
SANCTUM|Inner private room
SANDALS|Summer shoes
SANDBAG|Flood barrier
SANDBAR|Shallow ridge
SANDIER|Grittier
SANDPIT|Playground box
SAPLING|Young tree
SARCASM|Lowest form of wit
SARDINE|Tinned little fish
SATCHEL|School bag
SATISFY|Meet the need
SAUCERS|What the cups sit on
SAUSAGE|Breakfast link
SAVINGS|What's in the account
SAVORED|Took your time over
SAWDUST|Workshop floor covering
SAWMILL|Where the logs are cut
SAYINGS|Old proverbs
SCALDED|Burned with hot water
SCALPEL|Surgeon's blade
SCANDAL|Front page shame
SCANNED|Read it quickly
SCANNER|Barcode reader
SCANTLY|Barely
SCARIER|More frightening
SCARLET|Bright red
SCARRED|Left a mark
SCATTER|Throw about
SCENERY|The view
SCENTED|Perfumed
SCHEMED|Plotted
SCHEMES|Plans, often shady
SCHOLAR|Learned one
SCHOOLS|Where the lessons are
SCIENCE|Lab subject
SCOFFED|Sneered at
SCOLDED|Told off
SCOOTER|Push-along ride
SCORING|Racking up points
SCORNED|Looked down on
SCOURED|Scrubbed hard
SCOUTED|Looked ahead
SCOWLED|Made an angry face
SCRAPED|Grazed
SCRAPER|Ice remover
SCRAPES|Grazes
SCRATCH|From
SCRAWLS|Untidy writing
SCREAMS|Shrieks
SCREENS|What you watch on
SCRIBES|Old-time copyists
SCRIPTS|Actors' lines
SCROLLS|Old parchment rolls
SCRUBBY|Low and straggly
SCUFFLE|Little tussle
SCULPTS|Shapes the clay
SEABIRD|Gull, for one
SEAFOOD|Fish and shellfish
SEAGULL|Beach scavenger
SEALING|Shutting tight
SEAPORT|Harbor town
SEARING|Blisteringly hot
SEASIDE|By the shore
SEASONS|Spring and summer
SEATING|Where everyone sits
SEAWEED|Kelp
SECEDED|Broke away
SECLUDE|Keep well apart
SECONDS|Sixty in a minute
SECRECY|Keeping it quiet
SECRETS|Not to be told
SECTION|Part of the paper
SECULAR|Not religious
SECURED|Made fast
SEDUCED|Lured in
SEEDING|Sowing
SEEKERS|Ones who look
SEEKING|Looking for
SEEMING|Apparent
SEEPAGE|Slow leak
SEGMENT|Orange's part
SEIZING|Grabbing hold
SELLERS|Ones with the goods
SELLING|Trading for money
SEMINAR|Small teaching group
SENATOR|Upper house member
SENDING|Posting it off
SENIORS|The oldest students
SERIALS|Weekly episodes
SERIOUS|No joking
SERMONS|Sunday messages
SERPENT|Garden of Eden tempter
SERVANT|Downstairs staff
SERVERS|Waiters
SERVICE|Church, or waiting on
SERVING|Portion
SESSION|Sitting
SETBACK|A step backwards
SETTING|Where the story happens
SETTLED|Came to terms
SETTLER|One who came and stayed
SEVENTH|After sixth
SEVERAL|More than a couple
SEVERED|Cut right through
SHACKLE|Prisoner's iron
SHADIER|Less honest
SHADING|Pencil's darkening
SHADOWS|What follows you in the sun
SHAKING|Trembling
SHALLOW|Not deep
SHAMBLE|Shuffle along
SHAMPOO|Hair wash
SHAPELY|Nicely formed
SHAPING|Forming it
SHARING|Splitting it between you
SHARPEN|Put an edge on
SHARPER|Keener
SHARPLY|Very suddenly
SHATTER|Break to pieces
SHAVING|At the razor
SHEARED|Clipped the sheep
SHEATHS|Blade covers
SHELLED|Took the pods off
SHELTER|Somewhere out of the rain
SHELVED|Put off for now
SHELVES|Where the books go
SHERIFF|Star wearer
SHERBET|Fruity frozen dessert
SHIELDS|Knights' guards
SHIFTED|Moved along
SHIMMER|Waver with light
SHINGLE|Roof tile, or beach stones
SHINIER|More polished
SHINING|Gleaming
SHIPPED|Sent it off
SHIPPER|Freight sender
SHIRKED|Dodged the work
SHIVERS|Cold trembles
SHOCKED|Taken aback
SHOEBOX|Where the photos end up
SHOOTER|Marble, or a gun
SHOPPED|Went round the stores
SHOPPER|One with a basket
SHORTEN|Cut it down
SHORTER|Not as tall
SHORTLY|Before long
SHOTGUN|Front seat call
SHOUTED|Raised the voice
SHOVELS|Snow clearers
SHOWERS|Morning washes
SHOWING|On display
SHOWMAN|Real performer
SHRIEKS|Screams
SHRIMPS|Cocktail crustaceans
SHRINES|Places of pilgrimage
SHRINKS|Gets smaller
SHUCKED|Opened the oyster
SHUDDER|Shiver of horror
SHUFFLE|Mix the cards
SHUNNED|Left out in the cold
SHUTOUT|Nothing conceded
SHUTTER|Camera's blink
SHUTTLE|Airport bus
SICKEST|Most unwell of all
SIDECAR|Motorbike's passenger seat
SIGHING|Letting out a long breath
SIGHTED|Spotted
SIGNALS|Traffic lights
SIGNIFY|Stand for
SIGNING|Putting your name to it
SILENCE|No sound at all
SILKIER|Smoother
SILVERY|Like moonlight
SIMILAR|Much the same
SIMMERS|Bubbles gently
SIMPLER|Less trouble
SINCERE|Really meaning it
SINGERS|Ones at the mic
SINGING|Carrying the tune
SINGLES|Hit records
SINKING|Going down
SIPPING|Little drinks
SIRLOIN|Steak cut
SISTERS|Female siblings
SITTERS|Evening childminders
SITTING|Taking the weight off
SITUATE|Place it
SIXTEEN|Sweet age
SIZABLE|Pretty big
SIZZLED|Made the steak sound
SKATERS|Rink gliders
SKATING|On the ice
SKEPTIC|Doubter
SKETCHY|Not much detail
SKEWERS|Kebab sticks
SKIDDED|Slid on the ice
SKILLED|Really good at it
SKILLET|Frying pan
SKIMMED|Read it over quickly
SKIMPED|Cut corners on
SKINNED|Took the hide off
SKIPPED|Missed out
SKIPPER|Ship's captain
SKIRTED|Went round the edge
SKYLINE|City's silhouette
SLACKEN|Loosen off
SLACKER|One who dodges the work
SLAMMED|Shut hard
SLANDER|Spoken lie about them
SLANTED|At an angle
SLAPPED|Hit with the palm
SLASHED|Cut deeply
SLAVERY|Bondage
SLEDDED|Went down the hill
SLEEPER|Overnight train
SLEEVES|Shirt's arms
SLEIGHS|Runner-borne rides
SLENDER|Nice and slim
SLICING|Cutting up
SLICKER|Rain coat
SLIDING|Going down the chute
SLIGHTS|Little snubs
SLIMMER|Thinner
SLIPPED|Lost the footing
SLIPPER|House shoe
SLITHER|Snake's move
SLOGANS|Advertising lines
SLOPPED|Spilled over
SLOTTED|Fitted it in
SLOWEST|Least quick of all
SLOWING|Easing off
SLUGGER|Big hitter
SLUMBER|Sleep
SLUMPED|Sagged down
SLURPED|Drank noisily
SMACKED|Slapped
SMALLER|Not as big
SMARTER|Cleverer
SMARTLY|Neatly turned out
SMASHED|Broken to bits
SMEARED|Smudged
SMELLED|Caught the scent
SMELTER|Where the ore is melted
SMILING|Grinning
SMOKERS|Ones outside the pub
SMOKING|On fire, or on a cigarette
SMUGGLE|Sneak it across the border
SNAGGED|Caught on something
SNAPPED|Broke with a crack
SNARLED|Growled
SNEAKED|Slipped past unseen
SNEAKER|Trainer
SNEERED|Curled the lip
SNEEZED|Went ah-choo
SNIFFED|Took a smell
SNIPPET|Little bit of it
SNORING|Sleeper's noise
SNORKEL|Breathing tube
SNOWCAP|Peak's white top
SNOWIER|More covered in white
SNOWMAN|Carrot-nosed figure
SNUGGLE|Cuddle up
SOAKING|Wet through
SOAPBOX|Where the ranter stands
SOARING|Flying high
SOBERED|Came round
SOCIETY|The community
SOCKETS|Where you plug in
SOFTEST|Least hard of all
SOFTENS|Takes the edge off
SOILING|Getting it dirty
SOLDIER|One in uniform
SOLICIT|Ask for it
SOLIDLY|Firmly
SOLOIST|The one out front
SOLVENT|Able to pay the bills
SOLVING|Working it out
SOMEHOW|In one way or another
SOMEONE|A person unnamed
SOOTHED|Calmed down
SOPRANO|High singing voice
SORCERY|Witchcraft
SORTING|Putting in order
SOULFUL|Full of feeling
SOUNDED|Made the noise
SOUNDLY|Fast asleep
SOURCES|Where it came from
SOYBEAN|Tofu's source
SPACING|Gap between them
SPANIEL|Floppy-eared dog
SPANNED|Reached across
SPANNER|Wrench, in Britain
SPARING|Going easy on
SPARKED|Set it off
SPARKLE|Glitter
SPARROW|Common little bird
SPATTER|Fleck it
SPEAKER|One at the podium
SPEARED|Skewered
SPECIAL|Out of the ordinary
SPECIES|Kind of animal
SPECIFY|Say exactly which
SPECKLE|Little speck
SPECTER|Ghostly figure
SPEEDED|Went too fast
SPELLED|Set out the letters
SPENDER|Free with money
SPHERES|Balls
SPICIER|Hotter on the tongue
SPIDERS|Web spinners
SPIKING|Adding something strong
SPILLED|Knocked it over
SPINACH|Popeye's green
SPINDLE|Thread's rod
SPINNER|Bowler in cricket
SPIRALS|Staircase shapes
SPIRITS|Whisky and gin, or morale
SPLASHY|Making a big show
SPLICED|Joined the ends
SPLINTS|Broken finger supports
SPLOTCH|Big irregular blot
SPOILED|Ruined, or indulged
SPONGES|Bath scrubbers
SPONSOR|Shirt-front name
SPOOKED|Frightened
SPOTTED|Saw it
SPOUSES|Husbands and wives
SPOUTED|Gushed
SPRAINS|Twisted ankles
SPRAWLS|Stretches out untidily
SPRAYED|Misted it on
SPREADS|Butters
SPRINGS|Coils, or the seasons
SPRINTS|All-out dashes
SPROUTS|Little cabbages
SPRUCED|Tidied up
SPUTTER|Splutter along
SQUALID|Filthy and wretched
SQUALLS|Sudden storms
SQUARED|Made right-angled
SQUARES|Four equal sides
SQUEEZE|Give it a press
SQUINTS|Screws up the eyes
SQUIRTS|Little jets
STABLED|Put the horse away
STABLES|Where the horses live
STACKED|Piled up
STADIUM|Big-crowd ground
STAFFED|Manned
STAGGER|Reel about
STAINED|Marked
STALKED|Followed closely
STALLED|Engine died
STAMINA|Staying power
STAMMER|Halting speech
STAMPED|Franked
STANDBY|Waiting for a seat
STANZAS|Poem's verses
STAPLER|Desk fastener
STAPLES|The basics
STARDOM|The big time
STARING|Looking far too long
STARTED|Got going
STARTER|First course
STARTLE|Give a jump
STARVED|Went without food
STATING|Saying it outright
STATION|Where the trains stop
STATUES|Bronze figures
STATURE|Standing and height
STATUTE|Law on the books
STAYING|Not leaving
STEALTH|Moving unseen
STEAMED|Cooked over water
STEAMER|Ship, or a veg cooker
STEEPER|More of a climb
STEEPLE|Church's spire
STEERED|Took the wheel
STELLAR|Absolutely first rate
STENCIL|Cut-out pattern
STEPPED|Took a pace
STERNLY|Very severely
STETSON|Cowboy hat
STEWARD|Cabin attendant
STIFLED|Held it back
STIGMAS|The shames attached
STILTED|Awkward and formal
STINGER|Bee's weapon
STIRRED|Gave it a mix
STIRRUP|Rider's footrest
STOCKED|Filled the shelves
STOICAL|Taking it without complaint
STOKING|Feeding the fire
STOMACH|Where the butterflies are
STOMPED|Stamped about
STONIER|Rockier
STOOPED|Bent forward
STOPPED|Came to a halt
STOPPER|Bottle's cork
STORAGE|Where you keep it
STORIED|Full of history
STORIES|Tales
STORMED|Charged in
STOUTLY|Firmly
STOWAGE|Where it is stashed
STOWING|Putting it away
STRANDS|Hairs
STRANGE|Odd
STRATUM|Layer of rock
STRAYED|Wandered off
STREAKS|Winning runs
STREAMS|Little creeks
STREETS|Where you live
STRETCH|Reach out
STRIDES|Long steps
STRIKER|Goal scorer
STRIKES|Bowling perfects
STRINGS|The violin section
STRIPED|In bands of color
